id,ingredients,nutrition,ingredients_viewmore,saturated,sugar,sodium,energy,Protein
101,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2250kJ  607kJ Protein 7.3g  2.0g Fat, total 33.3g  9.0g – saturated 2.5g  0.7g Carbohydrate 51.1g  13.8g – sugars 2.7g  0.7g Sodium 441mg  119mg","Potatoes, Canola Oil, Sunflower Oil, Hot Wings Seasoning [Maltodextrin, Sugar, Spices (Chilli, Black Pepper, White Pepper), Flavour Enhancers (621, 627, 631), Salt, Hydrolysed Vegetable Protein, Onion Powder, Mineral Salt (Potassium Chloride), Garlic Powder, Yeast Extract, Flavours, Natural Colour (Paprika Extract)], Ranch Seasoning [Buttermilk Powder (Milk), Cheese Powder (Milk), Salt, Flavour Enhancers (621, 635), Maltodextrin, Onion Powder, Mineral Salt (Potassium Chloride), Sugar, Sour Cream Powder (Milk), Garlic Powder, Spices (Paprika, Black Pepper, White Pepper), Food Acids (Citric Acid, Malic Acid, Sodium Acetate, Sodium Diacetate), Natural Flavours, Herb (Parsley, Antioxidants (Tocopherols, Ascorbic Acid, Rosemary Extract). View more",2.5g,2.7g,441mg,2250kJ,7.3g
102,"Cereals 54% (Wheat Flour 29%, Wholegrain Cereals 25% (Wholegrain Wheat Flour 12%, Wholegrain Oats 10%, Wholegrain Rye Flour 1%, Wholegrain Barley Flour 1%, Wholegrain Spelt Flour 1%)), Sugar, Vegetable Oil (Contains Antioxidant (330)), Cocoa Powder (4%), Wheat Starch, Emulsifiers (Soy Lecithin, 472e), Raising Agents (500, 503, 504), Mineral Salt (450), Flavours, Salt, Milk Solids.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1900kJ  952kJ Protein 7.4g  3.7g Fat, total 15.7g  7.8g – saturated 5.0g  2.5g Carbohydrate 67.8g  33.9g – sugars 28.0g  14.0g Sodium 207mg  104mg",null,5.0g,28.0g,207mg,1900kJ,7.4g
103,null,null,null,null,null,null,null,null
104,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1620kJ  Approx.356kJ Protein Approx.11.1g  Approx.2.4g Fat, total Approx.23.7g  Approx.5.2g – saturated Approx.11.7g  Approx.2.6g Carbohydrate Approx.31.3g  Approx.6.9g – sugars Approx.4.8g  Approx.1.1g Sodium Approx.805mg  Approx.175mg","Cheese Spread[Cheddar Cheese (47%)( Milk , Salt, Starter Culture), Water, Margarine (Vegetable Fats and Oils, Water, Salt,  Milk  Solids, Emulsifiers [ Soy  Lecithin, 471], Antioxidants [304, 307b]), Whey Powder ( Milk ), Flavour ( Milk ),  Milk  Mineral, Mineral Salts (339, 452), Preservative (234)].      Cracker [ Wheat  Flour, Vegetable Fats and Oils (Antioxidants [307, 307b]), Wholemeal  Wheat  Flour, Sugar,  Wheat  Bran, Invert Syrup, Salt, Raising Agents (503, 500), Poppy Seeds,  Wheat  Germ].       Contains: Gluten (Wheat), Milk and Soy.        May Contain Egg, Tree Nuts and Peanuts. View more",Approx.11.7g,Approx.4.8g,Approx.805mg,Approx.1620kJ,Approx.11.1g
105,"Fruit Juices & Purees (70%) (Pear Puree Concentrate (68%), Blueberry Juice Concentrate (1%), Strawberry Juice Concentrate (1%)), Sugar, Corn Syrup, Starch, Acidity Regulators (Citric Acid, Sodium Citrate), Apple or Citrus Fibre, Natural Flavourings (Blueberry, Strawberry), Gelling Agent (Pectin), Antioxidant (Ascorbic Acid), Natural Colours (Anthocyanins)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx. 1450kJ  Approx. 218kJ Protein <1g  <1g Fat, total <1g  <1g – saturated <1g  <1g Carbohydrate Approx. 84.8g  Approx. 12.7g – sugars Approx. 60g  Approx. 9g Sodium Approx. 69mg  Approx. 10mg",null,<1g,Approx. 60g,Approx. 69mg,Approx. 1450kJ,<1g
106,Almonds,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2508kj  752kj Protein 19.8g  5.9g Fat, total 52.3g  15.7g – saturated 3.9g  1.2g Carbohydrate 9.4g  2.8g – sugars 4.7g  1.4g Sodium 3mg  1mg",null,3.9g,4.7g,3mg,2508kj,19.8g
107,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1850kJ  462kJ Protein 8.6g  2.2g Fat, total 20.6g  5.2g – saturated 2.2g  0.6g Carbohydrate 57.9g  14.5g – sugars 1.3g  0.3g Sodium 497mg  124mg","Wheat Flour, Sunflower Oil (Antioxidants (307b, 304)), Rice Starch, Potato Flakes, Wheat Gluten, Natural Flavour, Maltodextrin, Salt, Raising Agents (341, 500), Yeast & Yeast Extract, Flavour Enhancers (621, 635), Sugar, Whey Powder (Milk), Garlic Powder, Buttermilk Powder (Milk), Flavours (Milk), Onion Powder, Herb (Parsley), Spices (Black Pepper, Turmeric), Food Acid (Lactic Acid), Natural Colours (Curcumin, Paprika Extract). View more",2.2g,1.3g,497mg,1850kJ,8.6g
108,"Wheat Flour, Sugar, Vegetable Oil, Cocoa Powder, Golden Syrup, Baking Powder, Food Colour (Caramel III), Salt, Emulsifier (Soy Lecithin), Natural Flavour, Antioxidant (E307b from Soy).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1880kJ  335kJ Protein 4.5g  0.8g Fat, total 16.4g  2.9g – saturated 8.4g  1.5g Carbohydrate 68.6g  12.2g – sugars 36.7g  6.5g Sodium 378mg  67mg",null,8.4g,36.7g,378mg,1880kJ,4.5g
109,null,null,null,null,null,null,null,null
110,null,null,null,null,null,null,null,null
111,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1830kJ  641kJ Protein 6.9g  2.4g Fat, total 18.8g  6.6g – saturated 7.6g  2.7g Carbohydrate 57.1g  20.0g – sugars 28.8g  10.1g Sodium 15mg  5mg","Whole Grain Oats 30%, Glucose, Nuts13% (Almonds 12.8%, Hazelnuts), Fruit 12% (Cranberries 7% [Cranberries, Sugar, Sunflower Oil], Sultanas), Dark Choc Compound 10% (Sugar, Vegetable Oil, Cocoa Powder, Emulsifier [Sunflower Lecithin], Salt, Natural Vanilla Flavour), Honey, Sunflower Oil, Puffed Rice, Seeds 2% (Sunflower Seeds, Sesame Seeds), Oat Fibre, Natural Vanilla Flavour, Cinnamon. View more",7.6g,28.8g,15mg,1830kJ,6.9g
112,"Wheat Flour, Vegetable Oil (Contains Antioxidant (319)), Wheat Gluten, Salt, Black Pepper (1.0%), Flavour.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1970kJ  228kJ Protein 13.0g  1.5g Fat, total 11.8g  1.4g – saturated 5.2g  <1.0g Carbohydrate 73.6g  8.5g – sugars <1.0g  <1.0g Sodium 613mg  71mg",null,5.2g,<1.0g,613mg,1970kJ,13.0g
113,"Sugar, Cocoa Mass, Cocoa Butter, Milk Fat, Emulsifier (Soy Lecithin), Fleur de sel (Sea Salt 0.3%), Flavouring.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2200kJ  441kJ Protein 6.2g  1.2g Fat, total 32.0g  6.4g – saturated 20.0g  4.0g Carbohydrate 50.0g  10.0g – sugars 48.0g  9.6g Sodium 124mg  25mg",null,20.0g,48.0g,124mg,2200kJ,6.2g
114,"Sugar, Glucose Syrup, Vegetable Oil, Food Acids (330, 331), Thickener (Dextrin), Modified Corn Starch, Flavour, Colours (171, 129, 102, 110, 132, 133), Glazing Agent (903).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1660kJ  415kJ Protein 0g  0g Fat, total 4g  1g – saturated 2g  1g Carbohydrate 92g  23g – sugars 76g  19g Sodium 16mg  5mg",null,2g,76g,16mg,1660kJ,0g
115,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2015kJ  625kJ Protein 7.1g  2.2g Fat, total 19.5g  6g – saturated 5g  1.6g Carbohydrate 67.6g  21g – sugars 29g  9g Sodium 200mg  62mg","BAKERY PRODUCTS WITH CHOCOLATE AND COCOA. Ingredients: wheat flour, sugar, sunflower seed oil, milk chocolate 4.7% (sugar, cocoa butter, whole milk powder, cocoa mass, emulsifier: soy   lecithin, natural vanilla flavouring), cocoa powder 3.9%, butter,   chocolate 2.1% (cocoa mass, sugar, emulsifier: soy lecithin, natural   vanilla flavouring), eggs, raising agents (sodium hydrogen carbonate and ammonium hydrogen carbonate), salt, flavourings (milk, soy), wheat starch, egg white powder, corn starch. May be present: tree nuts. View more",5g,29g,200mg,2015kJ,7.1g
116,"Sorbitol, Gum Base, Humectant (422), Mannitol, Flavour, Sweetener (951), Emulsifier (322, From Soy), Antioxidant (321)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 925kJ  18kJ Protein 0g  0g Fat, total 0g  0g – saturated 0g  0g Carbohydrate 0g  0g – sugars 0g  0g Sodium <5mg  0g",null,0g,0g,<5mg,925kJ,0g
117,"Milk Chocolate (35.5%), (Sugar, Milk Solids, Cocoa Butter, Cocoa Mass, Vegetable Oil, Emulsifiers (Soy Lecithin, E476), Flavour), Sugar, Wheat Flour, Vegetable Oil (Contains Soy), Cocoa Powder, Milk Powder, Food Colour (Caramel III), Coffee Powder (0.25%) (Robusta, Arabica), Salt, Emulsifier (Soy Lecithin), Baking Powder, Flavour.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2260kJ  348kJ Protein 4.8g  0.7g Fat, total 31.1g  4.8g – saturated 17.2g  2.7g Carbohydrate 59.2g  9.1g – sugars 42.9g  6.6g Sodium 165mg  25mg",null,17.2g,42.9g,165mg,2260kJ,4.8g
118,"Potatoes (68%), Sunflower Oil, Cheddar Cheese and Chives Seasoning (6%) [Lactose (contains Milk), Garlic Powder, Onion Powder, Yeast Extract, Salt, Cheddar Cheese Powder (15%) (contains Milk), Dextrose, Chives (1.5%), Paprika]","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2010kJ  Approx.503kJ Protein Approx.6.9g  Approx.1.7g Fat, total Approx.25.1g  Approx.6.3g – saturated Approx.2.3g  <1g Carbohydrate Approx.56.6g  Approx.14.2g – sugars Approx.2.8g  <1g Sodium Approx.426mg  Approx.107mg",null,Approx.2.3g,Approx.2.8g,Approx.426mg,Approx.2010kJ,Approx.6.9g
119,"POTATOES, CANOLA OIL, SUNFLOWER OIL, SALT, ANTIOXIDANTS (TOCOPHEROLS, ASCORBIC ACID, ROSEMARY EXTRACT, CITRIC ACID).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2290kJ  617kJ Protein 6.7g  1.8g Fat, total 34.8g  9.4g – saturated 3.5g  0.9g Carbohydrate 50.6g  13.7g – sugars 1.0g  0.3g Sodium 556mg  150mg",null,3.5g,1.0g,556mg,2290kJ,6.7g
120,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2285kJ  Approx.571kJ Protein Approx.8.4g  Approx.2.1g Fat, total Approx.35g  Approx.8.7g – saturated Approx.20.7g  Approx.5.2g Carbohydrate Approx.49.8g  Approx.12.5g – sugars Approx.34.6g  Approx.8.7g Sodium Approx.92mg  Approx.23mg","Milk Chocolate 35% (Sugar, Whole Milk Powder, Cocoa Butter, Cocoa Mass, Skimmed Milk Powder, Emulsifier Soy Lecithins), Coconut Oil, Hazelnuts 13%, Glucose Syrup, Wheat Flour, Sugar, Whey Powder (Milk), Skimmed Milk Powder, Soy Flour, Fat-Reduced Cocoa, Dextrose, Barley Malt Extract, Raising Agents (Sodium Hydrogen Carbonate, Disodium Diphosphate), Salt, Emulsifier Soy Lecithins, Bourbon Vanilla Pods, Spices View more",Approx.20.7g,Approx.34.6g,Approx.92mg,Approx.2285kJ,Approx.8.4g
121,"Wheat Flour, Sugar, Vegetable Oil (Contains Soy), Cocoa Mass, Milk Solids, Cocoa Butter, Dessicated Coconut, Salt, Eggs, Emulsifiers (Soy Lecithin, E476), Golden Syrup, Honey, Baking Powder, Flavour.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2100kJ  263kJ Protein 5.5g  0.7g Fat, total 24.9g  3.1g – saturated 14.2g  1.8g Carbohydrate 62.1g  7.8g – sugars 36.2g  4.5g Sodium 268mg  33mg",null,14.2g,36.2g,268mg,2100kJ,5.5g
122,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2000kJ  500kJ Protein 5.7g  1.4g Fat, total 19.5g  4.9g – saturated 12.0g  3.0g Carbohydrate 67.1g  16.8g – sugars 31.8g  8.0g Sodium 280mg  70mg","Wheat Flour, Sugar, Coloured Choc Chips (13%) (Sugar, Vegetable Fat [Emulsifiers (492, Soy Lecithin)], Cocoa Powder, Milk Solids, Tapioca Starch, Colours (171, 100, 120, 160c), Emulsifier (Soy Lecithin), Flavours, Glazing Agents (903, 904)), Vegetable Fats and Oils (Antioxidant (307)), Choc Chips (8%) (Sugar, Vegetable Oil, Cocoa, Milk Solids, Emulsifiers (492, Soy Lecithin), Salt), Golden Syrup, Vegetable Fibre, Salt, Raising Agents (503, 500), Flavours. View more",12.0g,31.8g,280mg,2000kJ,5.7g
123,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.2280kJ  Approx.340kJ Protein Approx.5.4g  Approx.0.8g Fat, total Approx.31.6g  Approx.4.7g – saturated Approx.18.4g  Approx.2.8g Carbohydrate Approx.59.7g  Approx.9g – sugars Approx.59.4g  Approx.8.9g Sodium Approx.62mg  Approx.9mg","Milk  Chocolate (44%) [Sugar, Full Cream  Milk  Powder, Cocoa Butter, Cocoa Mass, Vegetable Fat [Emulsifier ( Soy  Lecithin)], Emulsifiers ( Soy  Lecithin, 476), Flavour]; Peppermint Centre (56%) [Sugar, Vegetable Fat [Emulsifer ( Soy  Lecithin)],  Milk  Solids, Emulsifiers ( Soy  Lecithin, 476), Colour (141), Flavour].       Contains Milk and Soy.        May Contain Peanuts, Tree Nuts and Wheat.       Milk Chocolate Contains A Minimum 20% Cocoa Solids and 25% Milk Solids. View more",Approx.18.4g,Approx.59.4g,Approx.62mg,Approx.2280kJ,Approx.5.4g
124,"Corn, Palm Oil, Maltodextrin (Corn), Cheese Powder (contains Milk), Salt, Sugar, Vegetable Powders (Onion, Garlic, Tomato), Natural Flavours, Mineral Salt (508), Hydrolysed Maize Protein, Maize Starch, Vegetable Oil (Sunflower), Yeast Extract, Spices, Acidity Regulator (270, 330, 327), Flavour Enhancer (635)","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx. 2070kJ  Approx. 517kJ Protein Approx. 7.5g  Approx. 1.9g Fat, total Approx. 26.1g  Approx. 6.5g – saturated Approx. 10.3g  Approx. 2.6g Carbohydrate Approx. 57.3g  Approx. 14.3g – sugars Approx. 2.2g  Approx. 1g Sodium Approx. 547mg  Approx. 137mg",null,Approx. 10.3g,Approx. 2.2g,Approx. 547mg,Approx. 2070kJ,Approx. 7.5g
125,"Glucose Syrup ( Wheat  Or Corn), Cane Sugar, Thickener (Dextrin Roasted Starch, Acid Treated Starch Or Starch Acetate)( Wheat ), Gelatine, Food Acid (Citric), Flavours, Colour (Carminic Acid).       Contains Wheat. May Contain Milk.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1460kJ  Approx.290kJ Protein Approx.3.5g  <1g Fat, total <1g  <1g – saturated <1g  <1g Carbohydrate Approx.82g  Approx.16.4g – sugars Approx.45.5g  Approx.9.1g Sodium Approx.100mg  Approx.20mg",null,<1g,Approx.45.5g,Approx.100mg,Approx.1460kJ,Approx.3.5g
126,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1610kJ  Approx.403kJ Protein Approx.1.5g  <1g Fat, total Approx.4.5g  Approx.1.1g – saturated Approx.2.5g  <1g Carbohydrate Approx.83.6g  Approx.20.9g – sugars Approx.64g  Approx.16g Sodium Approx.85mg  Approx.21mg","Sugar, Glucose-Fructose Syrup, Invert Sugar Syrup, Wheat Flour, Vegetable Oil, Corn Starch, Palm Fat, Humectant (Glycerol), Acids (Malic Acid, Citric Acid), Potato Starch, Gelatine (Pork), Fruit and Vegetable Concentrates (Carrot, Blackcurrant, Tomato, Pumpkin, Radish, Apple), Natural Flavouring, Acidity Regulator (Potassium Citrate), Emulsifier (Mono-and Diglycerides of Fatty Acids), Salt View more",Approx.2.5g,Approx.64g,Approx.85mg,Approx.1610kJ,Approx.1.5g
127,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2060kJ  515kJ Protein 4.3g  1.1g Fat, total 22.8g  5.7g – saturated 13.0g  3.2g Carbohydrate 65.7g  16.4g – sugars 33.1g  8.3g Sodium 414mg  104mg","Wheat Flour, Sugar, Vegetable Oil, Compound Chocolate [Contains Milk, Emulsifiers (Soy Lecithin, E492, E476), Natural Flavour], Desiccated Coconut, Oats, Butter (From Milk), Chocolate (Contains Milk, Emulsifiers (Soy Lecithin, E476), Flavour), Golden Syrup, Jam [Contains Colour (Carmine), Gelling Agent (Pectin), Food Acids (E330, E331), Flavour], Salt, Baking Powder, Eggs, Condensed Milk, Honey, Milk Solids, Emulsifiers (Soy Lecithin, E476), Flavour (Contains Milk), Antioxidant (E307b From Soy). View more",13.0g,33.1g,414mg,2060kJ,4.3g
128,"Wheat Flour, Vegetable Oil (Contains Antioxidant (330)), Sugar, Raising Agents (341, 500, 503), Salt, Glucose Syrup, Malted Barley Flour, Mixed Herbs (Savory, Rosemary, Basil, Oregano, Thyme, Marjoram) Dried Spinach.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1950kJ  610kJ Protein 8.7g  2.7g Fat, total 18.5g  5.8g – saturated 1.9g  <1.0g Carbohydrate 63.5g  19.9g – sugars 6.1g  1.9g Sodium 958mg  300mg",null,1.9g,6.1g,958mg,1950kJ,8.7g
129,null,null,null,null,null,null,null,null
130,"Wheat Flour, Vegetable Oil, Sesame Seeds (7%), Oats, Wheatmeal, Salt, Malt Extract (from Barley), Yeast, Baking Powder, Sugar, Antioxidants (E307B from Soy, E304), Emulsifier (Soy Lecithin).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1960kJ  376kJ Protein 8.7g  1.7g Fat, total 20.0g  3.8g – saturated 4.4g  0.8g Carbohydrate 61.0g  11.7g – sugars 1.1g  0.2g Sodium 840mg  161mg",null,4.4g,1.1g,840mg,1960kJ,8.7g
131,"Fruits (42%) (Sultanas, Citrus Peel (Contains Preservative [E223])), Chocolate (25%) (Sugar, Milk Solids, Cocoa Butter, Cocoa Mass, Vegetable Oil, Emulsifiers (Soy Lecithin, E476), Flavour), Wheat Flour, Sugar, Rice Flour, Vegetable Fibre, Golden Syrup, Sunflower Oil (contains Soy), Milk Solids, Emulsifier (Soy Lecithin), Salt, Baking Powder, Condensed Milk, Eggs.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1610kJ  403kJ Protein 5.1g  1.3g Fat, total 9.5g  2.4g – saturated 5.2g  1.3g Carbohydrate 66.6g  16.6g – sugars 48.6g  12.2g Sodium 143mg  36mg",null,5.2g,48.6g,143mg,1610kJ,5.1g
132,null,null,"MILK CHOCOLATE 46% (SUGAR, COCOA MASS, MILK SOLIDS, COCOA BUTTER, VEGETABLE FAT, PEANUTS, EMULSIFIER (SOY LECITHIN), SALT, FLAVOUR), SUGAR, PEANUTS 21 %, STARCH (SOURCES INCLUDE WHEAT), VEGETABLE FAT, GLUCOSE SYRUP (SOURCES INCLUDE WHEAT), VEGETABLE GUM (414), COLOURS (171, 129, 110, 102, 133), THICKENER (DEXTRIN), GLAZING AGENT (903). View more",null,null,null,null,null
133,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1780kJ  Approx.445kJ Protein Approx.4.6g  Approx.1.2g Fat, total Approx.16.2g  Approx.4.1g – saturated Approx.10g  Approx.2.5g Carbohydrate Approx.65.5g  Approx.16.4g – sugars Approx.46.2g  Approx.11.5g Sodium Approx.76mg  Approx.19mg","Milk Chocolate (50%) [Sugar, Milk Solids, Cocoa Butter, Cocoa Mass, Emulsifiers (322 (Soy), 476), Natural Flavour], Liquorice (50%) [Glucose Syrup, Wheat Flour, Sugar, Molasses, Treacle, Wheat Fibre, Sunflower Oil, Burnt Sugar, Liquorice Extract (0.5%), Aniseed Oil, Salt, Emulsifier (471)], Glazing Agents (414, 904), Milk Chocolate contains a minimum 31% Cocoa Solids and 24% Milk Solids View more",Approx.10g,Approx.46.2g,Approx.76mg,Approx.1780kJ,Approx.4.6g
134,"Nut (55%) (Peanuts, Almonds & Cashews), Noodles (Yellow Peas, Chick Peas, Sunflower and/or Canola Oil, Rice, Potato, Tapioca, Sesame Seeds, Salt), Green Peas, Chick Peas, Sunflower and/or Canola Oil, Sugar, Salt, Spices (Chilli, Paprika, Turmeric, Cumin), Maltodextrin, Vegetable Powder.",null,null,null,null,null,null,null
135,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1110kJ  31kJ Protein 0g  0g Fat, total 0g  0g – saturated 0g  0g Carbohydrate 0g  0g – sugars 0g  0g Sodium 0g  0g","SORBITOL, MALTITOL, GUM BASE, XYLITOL, STARCH, HUMECTANT (422), FLAVOUR, MODIFIED STARCH (1420), MANNITOL, FOOD ACIDS (330, 296), EMULSIFIER (322, FROM SOY), SWEETENERS (951, 950), GLAZING AGENT (903), ANTIOXIDANT (321), SODIUM BICARBONATE. EXCESS CONSUMPTION MAY HAVE A LAXATIVE EFFECT. CONTAINS PHENYLALANINE. View more",0g,0g,0g,1110kJ,0g
136,"Roasted Peanuts, Isolated Soy Protein, Chicory Root Extract, Sugar, Vegetable Oil, Milk Protein Isolate, Cocoa Liquor, Glucose, Sugar Syrup, Peanut Butter, Tapioca Starch, Humectant (Glycerin), Emulsifiers (Sunflower Lecithin, Soy Lecithin), Cocoa Powder, Salt, Natural Flavours, Cocoa Butter, Maltodextrin.","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2010kJ  806kJ Protein 26.1g  10.4g Fat, total 30.0g  12.0g – saturated 9.0g  3.6g Carbohydrate 20.5g  8.2g – sugars 14.5g  5.8g Sodium 379mg  151mg",null,9.0g,14.5g,379mg,2010kJ,26.1g
137,"Maltodextrin (Corn), Concentrated Fruit Puree (22%), Sugar, Soluble Corn Fibre, Modified Starch (1442), Fruit Juice Concentrates (5%), Sunflower Oil ( Soy ), Plant Origin Emulsifier (471), Food Acid (Malic, Ascorbic), Natural Flavour, Vegetable Gums (410, 415), Colour (Turmeric).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1430kJ  Approx.220kJ Protein Approx.0.4g  Approx.0.1g Fat, total Approx.2.9g  Approx.0.5g – saturated Approx.0.4g  Approx.0.1g Carbohydrate Approx.72.6g  Approx.11.3g – sugars Approx.26.5g  Approx.4.1g Sodium Approx.17mg  Approx.3mg",null,Approx.0.4g,Approx.26.5g,Approx.17mg,Approx.1430kJ,Approx.0.4g
138,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1840kJ  460kJ Protein 8.2g  2.1g Fat, total 20.8g  5.2g – saturated 2.2g  0.6 Carbohydrate 57.1g  14.3g – sugars 1.9g  0.5g Sodium 524mg  131mg","Wheat Flour, Sunflower Oil (Antioxidants (307B, 304)), Rice Starch, Potato Flakes, Wheat Gluten, Natural Flavour, Salt, Raising Agents (341, 500), Dextrose, Flavours (Milk), Yeast & Yeast Extract, Sugar, Mineral Salt (Potassium Chloride), Spices (Chilli, Black Pepper, Green Bell Pepper, Cumin), Tomato Powder, Maltodextrin, Cream Powder (Milk), Onion Powder, Milk Powder, Natural Colour (Paprika Extract, Annato), Glucose Powder, Whey Protein Concentrate (Milk), Herb (Parsley), Modified Corn Starch. View more",2.2g,1.9g,524mg,1840kJ,8.2g
139,null,null,null,null,null,null,null,null
140,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1880kJ  939kJ Protein 7.0g  3.5g Fat, total 14.5g  7.2g – saturated 3.0g  1.5g Carbohydrate 70.1g  35.1g – sugars 25.6g  12.8g Sodium 224mg  112mg","Cereals 54% (Wheat Flour 26%, Wholegrain Cereals 28% (Oat Flakes (12%, Wholegrain Wheat Flour (11%), Wholegrain Barley Flour (3%), Wholegrain Rye Flour (1%), Wholegrain Spelt Flour (1%))), Sugar, Forest Fruit Filling (Glucose Syrup, Strawberry Puree (4.7%), Humectant (422), Sugar, Vegetable Oil, Blackberry Concentrate, Food Acids (330, 331, 333, 296), Vegetable Gum (440), Strawberry Concentrate (0.05%), Flavour Emulsifier (322)), Vegetable Oil Wheat Starch, Yogurt Powder (1.4% (Contains Milk)), Milk Solids, Glucose Syrup, Raising Agents (170, 500, 503), Mineral Salt (450), Emulsifier (Soy Lecithin), Flavours, Salt, Food Acid (330). View more",3.0g,25.6g,224mg,1880kJ,7.0g
141,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy Approx.1620kJ  Approx.356kJ Protein Approx.11.1g  Approx.2.4g Fat, total Approx.23.5g  Approx.5.2g – saturated Approx.11.6g  Approx.2.6g Carbohydrate Approx.31.7g  Approx.7g – sugars Approx.5.1g  Approx.1.1g Sodium Approx.805mg  Approx.175mg","Cheese Spread [Cheddar Cheese (47%)( Milk , Salt, Starter Culture), Water, Margarine (Vegetable Oils, Water, Salt,  Milk  Solids, Emulsifiers [ Soy  Lecithin, 471], Antioxidants [304, 307b]), Whey Powder ( Milk ), Flavour ( Milk ),  Milk  Mineral, Mineral Salts (339, 452), Preservative (234)].      Cracker [ Wheat  Flour, Vegetable Fats and Oils (Antioxidants [307, 307b]), Wholemeal  Wheat  Flour, Sugar,  Wheat  Bran, Invert Syrup, Salt, Raising Agents (503, 500), Poppy Seeds,  Wheat  Germ].       Contains: Gluten (Wheat), Milk and Soy.        May Contain Egg, Tree Nuts and Peanuts. View more",Approx.11.6g,Approx.5.1g,Approx.805mg,Approx.1620kJ,Approx.11.1g
142,null,"Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 2060kJ  400kJ Protein 4.6g  0.9g Fat, total 23.7g  4.6g – saturated 13.6g  2.6g Carbohydrate 64.6g  12.5g – sugars 45.7g  8.9g Sodium 166mg  32mg","Biscuit: Milk Chocolate (35%)  (Sugar, Milk Solids, Cocoa Butter, Cocoa Mass, Vegetable Oil, Emulsifiers (Soy Lecithin, E476), Flavour), Wheat Flour, Caramel (15.5%) (Sugar, Condensed Milk, Butter (From Milk), Glucose From Wheat), Humectant (E422), Emulsifiers (E471, Soy Lecithin), Antioxidant (E307b), Flavour, Salt), Sugar, Vegetable Oil (Contains Soy), Golden Syrup, Food Colours (Caramel III, Beet Red, Cochineal, Annatto), Cocoa Powder, Salt, baking Powder, Emulsifier (Soy Lecithin) Flavours. View more",13.6g,45.7g,166mg,2060kJ,4.6g
143,"Wheat Flour, Jam (18%) [Plum (59%), Sugar, Gelling Agent (Pectin), Food Acid (330), Preservative (202), Flavour], Vegetable Fats And Oils [Antioxidant (307)], Sugar, Golden Syrup, Salt, Wheat Starch, Raising Agents (500, 503), Colour (160b).","Nutrition Avg Qty Per 100g  Avg Qty Per Serving Energy 1840kJ  313kJ Protein 5.0g  0.9g Fat, total 16.4g  2.8g – saturated 8.0g  1.4g Carbohydrate 66.9g  11.4g – sugars 23.8g  4.0g Sodium 206mg  35mg",null,8.0g,23.8g,206mg,1840kJ,5.0g
